STATION,NAME,DATE,TAVG
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2020,53.9
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2021,54.1
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2022,53.4
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2023,50.8
USC00046624,"PALMDALE, CA US",2021,65.7
USC00046624,"PALMDALE, CA US",2022,65.4
USC00046624,"PALMDALE, CA US",2023,62.1
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2020,65.8
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2021,64.7
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2022,66.7
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2023,65.4
USC00042941,"FAIRMONT, CA US",2020,63.5
USC00042941,"FAIRMONT, CA US",2021,63.5
USC00042941,"FAIRMONT, CA US",2022,62.3
USC00042941,"FAIRMONT, CA US",2023,58.6
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2020,61.6
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2021,61.3
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2022,61.7
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2023,57.5
US1CALA0081,"GLENDORA 1.4 ESE, CA US",2020,
US1CALA0081,"GLENDORA 1.4 ESE, CA US",2021,
US1CALA0081,"GLENDORA 1.4 ESE, CA US",2022,
US1CALA0081,"GLENDORA 1.4 ESE, CA US",2023,
USC00046663,"PALOS VERDES ES FC43D, CA US",2020,
USC00046663,"PALOS VERDES ES FC43D, CA US",2021,
USC00046663,"PALOS VERDES ES FC43D, CA US",2022,
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2020,65.4
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2021,64
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2022,66.6
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2023,65.7
USW00023130,"VAN NUYS AIRPORT, CA US",2020,68.8
USW00023130,"VAN NUYS AIRPORT, CA US",2021,
USW00023130,"VAN NUYS AIRPORT, CA US",2022,69.5
USW00023130,"VAN NUYS AIRPORT, CA US",2023,66.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2020,64.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2021,62.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2022,64.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2023,62.5
USR0000CSFD,"SANTA FE DAM CALIFORNIA, CA US",2020,68.5
USR0000CSFD,"SANTA FE DAM CALIFORNIA, CA US",2021,67.2
USR0000CSFD,"SANTA FE DAM CALIFORNIA, CA US",2022,68.7
USR0000CSFD,"SANTA FE DAM CALIFORNIA, CA US",2023,
USW00003122,"TORRANCE AIRPORT, CA US",2020,63.5
USW00003122,"TORRANCE AIRPORT, CA US",2021,62.8
USW00003122,"TORRANCE AIRPORT, CA US",2022,64.3
USW00003122,"TORRANCE AIRPORT, CA US",2023,62.2
US1CALA0036,"PASADENA 2.0 SE, CA US",2020,
US1CALA0036,"PASADENA 2.0 SE, CA US",2021,
US1CALA0036,"PASADENA 2.0 SE, CA US",2023,
US1CALA0113,"HIDDEN HILLS 6.0 ENE, CA US",2022,
US1CALA0113,"HIDDEN HILLS 6.0 ENE, CA US",2023,
USR0000CSAU,"SAUGUS CALIFORNIA, CA US",2020,66.1
USR0000CSAU,"SAUGUS CALIFORNIA, CA US",2021,66
USR0000CSAU,"SAUGUS CALIFORNIA, CA US",2023,63.3
USR0000CWAR,"WARM SPRINGS CALIFORNIA, CA US",2020,62.9
USR0000CWAR,"WARM SPRINGS CALIFORNIA, CA US",2021,62.6
USR0000CWAR,"WARM SPRINGS CALIFORNIA, CA US",2022,62.7
USR0000CWAR,"WARM SPRINGS CALIFORNIA, CA US",2023,58.5
USC00042214,"CULVER CITY, CA US",2020,64.5
USC00042214,"CULVER CITY, CA US",2021,
USC00042214,"CULVER CITY, CA US",2022,65.1
USC00042214,"CULVER CITY, CA US",2023,62.7
USR0000CLTU,"LITTLE TUJUNGA CALIFORNIA, CA US",2020,65.9
USR0000CLTU,"LITTLE TUJUNGA CALIFORNIA, CA US",2021,64.7
USR0000CLTU,"LITTLE TUJUNGA CALIFORNIA, CA US",2022,65.8
USR0000CLTU,"LITTLE TUJUNGA CALIFORNIA, CA US",2023,62.6
USC00040798,"BIG TUJUNGA DAM FC46, CA US",2020,
USC00040798,"BIG TUJUNGA DAM FC46, CA US",2021,
USC00040798,"BIG TUJUNGA DAM FC46, CA US",2022,
USC00040798,"BIG TUJUNGA DAM FC46, CA US",2023,
US1CALA0091,"PASADENA 0.8 ENE, CA US",2021,
US1CALA0091,"PASADENA 0.8 ENE, CA US",2022,
US1CALA0092,"REDONDO BEACH 2.1 SSW, CA US",2021,
US1CALA0092,"REDONDO BEACH 2.1 SSW, CA US",2022,
US1CALA0090,"GLENDALE 3.0 ESE, CA US",2020,
US1CALA0090,"GLENDALE 3.0 ESE, CA US",2021,
US1CALA0090,"GLENDALE 3.0 ESE, CA US",2022,
US1CALA0090,"GLENDALE 3.0 ESE, CA US",2023,
USC00046773,"PEARBLOSSOM, CA US",2020,
USC00046773,"PEARBLOSSOM, CA US",2021,65.9
USC00046773,"PEARBLOSSOM, CA US",2022,64.8
USC00046773,"PEARBLOSSOM, CA US",2023,62.3
USC00047785,"SAN GABRIEL FIRE DEPARTMENT, CA US",2020,
USC00047785,"SAN GABRIEL FIRE DEPARTMENT, CA US",2021,
USC00047785,"SAN GABRIEL FIRE DEPARTMENT, CA US",2023,
US1CALA0001,"GLENDALE 2.4 WSW, CA US",2020,
US1CALA0001,"GLENDALE 2.4 WSW, CA US",2021,
US1CALA0001,"GLENDALE 2.4 WSW, CA US",2022,
US1CALA0001,"GLENDALE 2.4 WSW, CA US",2023,
US1CALA0089,"SOUTH PASADENA 0.9 SSW, CA US",2020,
US1CALA0089,"SOUTH PASADENA 0.9 SSW, CA US",2022,
US1CALA0043,"PASADENA 1.8 E, CA US",2020,
US1CALA0043,"PASADENA 1.8 E, CA US",2021,
US1CALA0043,"PASADENA 1.8 E, CA US",2022,
US1CALA0043,"PASADENA 1.8 E, CA US",2023,
USR0000CMAL,"MALIBU HILLS CALIFORNIA, CA US",2020,65.7
USR0000CMAL,"MALIBU HILLS CALIFORNIA, CA US",2021,63.4
USR0000CMAL,"MALIBU HILLS CALIFORNIA, CA US",2022,64.9
USR0000CMAL,"MALIBU HILLS CALIFORNIA, CA US",2023,62.7
USR0000CPOP,"POPPY PARK CALIFORNIA, CA US",2020,63.8
USR0000CPOP,"POPPY PARK CALIFORNIA, CA US",2021,65
USR0000CPOP,"POPPY PARK CALIFORNIA, CA US",2022,64.3
USR0000CPOP,"POPPY PARK CALIFORNIA, CA US",2023,60.7
USR0000CMIL,"MILL CREEK ANF CALIFORNIA, CA US",2020,59.4
USR0000CMIL,"MILL CREEK ANF CALIFORNIA, CA US",2021,59.8
USR0000CMIL,"MILL CREEK ANF CALIFORNIA, CA US",2022,59.6
USR0000CMIL,"MILL CREEK ANF CALIFORNIA, CA US",2023,
USR0000CSAD,"SADDLEBACK BUTTE CALIFORNIA, CA US",2020,62.1
USR0000CSAD,"SADDLEBACK BUTTE CALIFORNIA, CA US",2021,63.9
USR0000CSAD,"SADDLEBACK BUTTE CALIFORNIA, CA US",2022,63.3
USR0000CSAD,"SADDLEBACK BUTTE CALIFORNIA, CA US",2023,60.5
US1CALA0003,"TORRANCE 2.8 SW, CA US",2020,
US1CALA0003,"TORRANCE 2.8 SW, CA US",2021,
USC00047779,"SAN GABRIEL DAM FC425B E, CA US",2020,
USC00047779,"SAN GABRIEL DAM FC425B E, CA US",2021,
USC00047779,"SAN GABRIEL DAM FC425B E, CA US",2022,
USC00047779,"SAN GABRIEL DAM FC425B E, CA US",2023,
USC00046602,"PACOIMA DAM FC33A E, CA US",2020,
USC00046602,"PACOIMA DAM FC33A E, CA US",2021,
USC00046602,"PACOIMA DAM FC33A E, CA US",2022,
USC00046602,"PACOIMA DAM FC33A E, CA US",2023,
USC00047776,"SAN GABRIEL CANYON PH, CA US",2020,
USC00047776,"SAN GABRIEL CANYON PH, CA US",2021,
USC00047776,"SAN GABRIEL CANYON PH, CA US",2022,
USC00047776,"SAN GABRIEL CANYON PH, CA US",2023,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2020,67.8
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2021,65.6
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2022,65.9
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2023,65.2
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",2020,65.5
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",2021,64.5
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",2022,65.7
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",2023,63.1
USC00040144,"ALTADENA, CA US",2020,
USC00040144,"ALTADENA, CA US",2021,
