STATION,NAME,DATE,TAVG
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2006,53.3
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2007,54.4
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2008,53.8
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2009,53.1
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2010,52
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2011,52.3
USR0000CBIP,"BIG PINES CALIFORNIA, CA US",2012,54.4
USC00048967,"TOPANGA PTRL STATION FC6, CA US",2006,
USC00048967,"TOPANGA PTRL STATION FC6, CA US",2008,
USC00048967,"TOPANGA PTRL STATION FC6, CA US",2009,
USC00048967,"TOPANGA PTRL STATION FC6, CA US",2010,
USC00048967,"TOPANGA PTRL STATION FC6, CA US",2011,
USC00046624,"PALMDALE, CA US",2006,63.1
USC00046624,"PALMDALE, CA US",2007,
USC00046624,"PALMDALE, CA US",2008,
USC00046624,"PALMDALE, CA US",2009,63.6
USC00046624,"PALMDALE, CA US",2010,
USC00046624,"PALMDALE, CA US",2011,62.3
USC00046624,"PALMDALE, CA US",2012,65.2
USC00047953,"SANTA MONICA PIER, CA US",2009,
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2006,64.4
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2007,64.9
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2008,64.8
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2009,64.9
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2010,63.2
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2011,63.5
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",2012,65.6
USC00042941,"FAIRMONT, CA US",2006,60.6
USC00042941,"FAIRMONT, CA US",2007,
USC00042941,"FAIRMONT, CA US",2008,
USC00042941,"FAIRMONT, CA US",2009,
USC00042941,"FAIRMONT, CA US",2012,63.7
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2006,59.9
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2007,60.7
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2008,61.4
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2009,60.3
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2010,58.7
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2011,59.5
USR0000CCP9,"CAMP 9 CALIFORNIA, CA US",2012,61.6
USC00046263,"NORTHRIDGE CAL STATE, CA US",2006,
USC00046263,"NORTHRIDGE CAL STATE, CA US",2007,66.3
USC00046263,"NORTHRIDGE CAL STATE, CA US",2008,67.4
USC00046263,"NORTHRIDGE CAL STATE, CA US",2009,66.5
USC00046263,"NORTHRIDGE CAL STATE, CA US",2012,
USC00043392,"GETTY CENTER, CA US",2006,
USC00043392,"GETTY CENTER, CA US",2007,63.7
USC00043392,"GETTY CENTER, CA US",2008,64.7
USC00043392,"GETTY CENTER, CA US",2009,64.6
USC00043392,"GETTY CENTER, CA US",2010,62.6
USC00043392,"GETTY CENTER, CA US",2011,62.3
USC00046663,"PALOS VERDES ES FC43D, CA US",2007,
USC00046663,"PALOS VERDES ES FC43D, CA US",2009,
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2006,65.3
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2007,65.7
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2008,66.3
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2009,63.8
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2010,63.6
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2011,63.3
USW00003167,"HAWTHORNE MUNICIPAL AIRPORT, CA US",2012,64.7
US1CALA0031,"LANCASTER 6.5 ENE, CA US",2012,
USW00023130,"VAN NUYS AIRPORT, CA US",2006,65.6
USW00023130,"VAN NUYS AIRPORT, CA US",2007,65.7
USW00023130,"VAN NUYS AIRPORT, CA US",2008,66.5
USW00023130,"VAN NUYS AIRPORT, CA US",2009,66
USW00023130,"VAN NUYS AIRPORT, CA US",2010,64.3
USW00023130,"VAN NUYS AIRPORT, CA US",2011,63.6
USW00023130,"VAN NUYS AIRPORT, CA US",2012,66.5
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2006,63.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2007,62.6
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2008,63.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2009,62.7
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2010,62
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2011,61.8
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",2012,63.4
USR0000CSFD,"SANTA FE DAM CALIFORNIA, CA US",2006,
USR0000CSFD,"SANTA FE DAM CALIFORNIA, CA US",2007,66.8
USR0000CSFD,"SANTA FE DAM CALIFORNIA, CA US",2008,67.9
USR0000CSFD,"SANTA FE DAM CALIFORNIA, CA US",2009,67.8
USR0000CSFD,"SANTA FE DAM CALIFORNIA, CA US",2011,66.1
USW00003122,"TORRANCE AIRPORT, CA US",2008,
USW00003122,"TORRANCE AIRPORT, CA US",2009,
USW00003122,"TORRANCE AIRPORT, CA US",2010,
US1CALA0036,"PASADENA 2.0 SE, CA US",2012,
USR0000CSAU,"SAUGUS CALIFORNIA, CA US",2006,65.1
USR0000CSAU,"SAUGUS CALIFORNIA, CA US",2007,65.3
USR0000CSAU,"SAUGUS CALIFORNIA, CA US",2008,66.5
USR0000CSAU,"SAUGUS CALIFORNIA, CA US",2009,65.4
USR0000CSAU,"SAUGUS CALIFORNIA, CA US",2010,63.5
USR0000CSAU,"SAUGUS CALIFORNIA, CA US",2011,64.2
USR0000CSAU,"SAUGUS CALIFORNIA, CA US",2012,66.4
USR0000CWAR,"WARM SPRINGS CALIFORNIA, CA US",2006,60.2
USR0000CWAR,"WARM SPRINGS CALIFORNIA, CA US",2007,61.4
USR0000CWAR,"WARM SPRINGS CALIFORNIA, CA US",2008,61.6
USR0000CWAR,"WARM SPRINGS CALIFORNIA, CA US",2009,60.4
USR0000CWAR,"WARM SPRINGS CALIFORNIA, CA US",2010,58.9
USR0000CWAR,"WARM SPRINGS CALIFORNIA, CA US",2011,59.3
USR0000CWAR,"WARM SPRINGS CALIFORNIA, CA US",2012,62
USC00042214,"CULVER CITY, CA US",2006,
USC00042214,"CULVER CITY, CA US",2007,
USC00042214,"CULVER CITY, CA US",2008,
USC00042214,"CULVER CITY, CA US",2009,
USC00042214,"CULVER CITY, CA US",2010,
USC00042214,"CULVER CITY, CA US",2011,
USC00042214,"CULVER CITY, CA US",2012,62.9
USC00047749,"SAN DIMAS FIRE FC 95, CA US",2006,
USC00047749,"SAN DIMAS FIRE FC 95, CA US",2007,
USC00047749,"SAN DIMAS FIRE FC 95, CA US",2008,
USC00047749,"SAN DIMAS FIRE FC 95, CA US",2009,
USC00047749,"SAN DIMAS FIRE FC 95, CA US",2010,
USC00047749,"SAN DIMAS FIRE FC 95, CA US",2011,
USR0000CLTU,"LITTLE TUJUNGA CALIFORNIA, CA US",2006,64.3
USR0000CLTU,"LITTLE TUJUNGA CALIFORNIA, CA US",2007,63.8
USR0000CLTU,"LITTLE TUJUNGA CALIFORNIA, CA US",2008,
USR0000CLTU,"LITTLE TUJUNGA CALIFORNIA, CA US",2009,64.1
USR0000CLTU,"LITTLE TUJUNGA CALIFORNIA, CA US",2010,62.5
USR0000CLTU,"LITTLE TUJUNGA CALIFORNIA, CA US",2011,62.9
USR0000CLTU,"LITTLE TUJUNGA CALIFORNIA, CA US",2012,64.6
USC00040798,"BIG TUJUNGA DAM FC46, CA US",2006,
USC00040798,"BIG TUJUNGA DAM FC46, CA US",2008,
USC00040798,"BIG TUJUNGA DAM FC46, CA US",2009,
USC00046773,"PEARBLOSSOM, CA US",2007,
USC00046773,"PEARBLOSSOM, CA US",2008,
USC00046773,"PEARBLOSSOM, CA US",2009,
USC00046773,"PEARBLOSSOM, CA US",2010,
USC00046773,"PEARBLOSSOM, CA US",2011,
USC00046773,"PEARBLOSSOM, CA US",2012,65.3
USC00047785,"SAN GABRIEL FIRE DEPARTMENT, CA US",2008,66.1
USC00047785,"SAN GABRIEL FIRE DEPARTMENT, CA US",2009,
USC00042494,"DOWNEY FIRE STATION FC107C, CA US",2008,
USC00042494,"DOWNEY FIRE STATION FC107C, CA US",2010,
USC00042494,"DOWNEY FIRE STATION FC107C, CA US",2011,
US1CALA0001,"GLENDALE 2.4 WSW, CA US",2009,
US1CALA0001,"GLENDALE 2.4 WSW, CA US",2010,
US1CALA0001,"GLENDALE 2.4 WSW, CA US",2011,
US1CALA0001,"GLENDALE 2.4 WSW, CA US",2012,
USR0000CMAL,"MALIBU HILLS CALIFORNIA, CA US",2007,64.5
USR0000CMAL,"MALIBU HILLS CALIFORNIA, CA US",2008,66.1
USR0000CMAL,"MALIBU HILLS CALIFORNIA, CA US",2009,65.5
USR0000CMAL,"MALIBU HILLS CALIFORNIA, CA US",2010,63
USR0000CMAL,"MALIBU HILLS CALIFORNIA, CA US",2011,
USR0000CPOP,"POPPY PARK CALIFORNIA, CA US",2007,64
USR0000CPOP,"POPPY PARK CALIFORNIA, CA US",2008,63.3
USR0000CPOP,"POPPY PARK CALIFORNIA, CA US",2009,
USR0000CPOP,"POPPY PARK CALIFORNIA, CA US",2010,61.1
USR0000CPOP,"POPPY PARK CALIFORNIA, CA US",2011,61.1
USR0000CPOP,"POPPY PARK CALIFORNIA, CA US",2012,
US1CALA0009,"SHERMAN OAKS 1.7 ENE, CA US",2009,
US1CALA0009,"SHERMAN OAKS 1.7 ENE, CA US",2011,
US1CALA0009,"SHERMAN OAKS 1.7 ENE, CA US",2012,
USR0000CMIL,"MILL CREEK ANF CALIFORNIA, CA US",2006,57.1
USR0000CMIL,"MILL CREEK ANF CALIFORNIA, CA US",2007,
USR0000CMIL,"MILL CREEK ANF CALIFORNIA, CA US",2008,58.7
USR0000CMIL,"MILL CREEK ANF CALIFORNIA, CA US",2009,
USR0000CMIL,"MILL CREEK ANF CALIFORNIA, CA US",2011,56.4
USR0000CMIL,"MILL CREEK ANF CALIFORNIA, CA US",2012,58.6
US1CALA0005,"ALTADENA 0.7 ESE, CA US",2010,
US1CALA0005,"ALTADENA 0.7 ESE, CA US",2011,
USR0000CSAD,"SADDLEBACK BUTTE CALIFORNIA, CA US",2006,61.4
USR0000CSAD,"SADDLEBACK BUTTE CALIFORNIA, CA US",2007,62.7
USR0000CSAD,"SADDLEBACK BUTTE CALIFORNIA, CA US",2008,62.5
USR0000CSAD,"SADDLEBACK BUTTE CALIFORNIA, CA US",2009,
USR0000CSAD,"SADDLEBACK BUTTE CALIFORNIA, CA US",2010,61
USR0000CSAD,"SADDLEBACK BUTTE CALIFORNIA, CA US",2011,60.3
USR0000CSAD,"SADDLEBACK BUTTE CALIFORNIA, CA US",2012,
US1CALA0003,"TORRANCE 2.8 SW, CA US",2009,
US1CALA0003,"TORRANCE 2.8 SW, CA US",2010,
USC00047779,"SAN GABRIEL DAM FC425B E, CA US",2008,
USC00047779,"SAN GABRIEL DAM FC425B E, CA US",2009,
USC00046602,"PACOIMA DAM FC33A E, CA US",2006,
USC00046602,"PACOIMA DAM FC33A E, CA US",2007,
USC00046602,"PACOIMA DAM FC33A E, CA US",2008,
USC00046602,"PACOIMA DAM FC33A E, CA US",2009,
USC00046602,"PACOIMA DAM FC33A E, CA US",2010,
USC00046602,"PACOIMA DAM FC33A E, CA US",2011,
USC00047776,"SAN GABRIEL CANYON PH, CA US",2007,
USC00047776,"SAN GABRIEL CANYON PH, CA US",2008,
USC00047776,"SAN GABRIEL CANYON PH, CA US",2009,
USC00047776,"SAN GABRIEL CANYON PH, CA US",2011,
USC00047776,"SAN GABRIEL CANYON PH, CA US",2012,69.9
USC00046006,"MOUNT WILSON CBS, CA US",2007,
USC00046006,"MOUNT WILSON CBS, CA US",2008,59.2
USC00046006,"MOUNT WILSON CBS, CA US",2009,58.2
USC00046006,"MOUNT WILSON CBS, CA US",2011,
USC00046006,"MOUNT WILSON CBS, CA US",2012,59.1
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2006,66.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2007,65.6
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2008,66.4
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2009,66.2
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2010,65.7
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2011,63.9
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",2012,65.5
USC00045790,"MONTEBELLO, CA US",2006,
USC00045790,"MONTEBELLO, CA US",2007,
USC00045790,"MONTEBELLO, CA US",2009,
USC00045790,"MONTEBELLO, CA US",2010,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",2006,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",2007,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",2008,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",2009,
USC00041194,"BURBANK VALLEY PUMP PLANT, CA US",2010,
